violet,blue,green,yellow,orange,red,label
8097.34,3569.39,13409.32,11794.64,15033.06,6536.73,atelier
8260.2,3582.05,14161.79,11998.77,16344.66,5635.86,atelier
8315.38,3631.95,15286.71,12535.59,17360.29,5349.93,atelier
8433.95,3887.35,16576.94,13254.24,17893.07,5509.34,atelier
8144.47,4327.62,17945.85,14102.11,17093.03,5633.6,atelier
8037.24,4742.55,19203.86,14880.5,16934.52,5820.74,atelier
7994.12,5104.4,20199.58,15561.85,15798.76,6005.47,atelier
8003.21,5373.16,20942.62,16137.16,14932.88,6207.92,atelier
8075.59,5566.34,21263.86,16649.95,13704.44,6426.83,atelier
7810.79,5829.31,19857.43,16993.85,11615.72,6630.55,atelier
7670.9,6053.98,18099.72,17247.27,10505.86,6802.89,atelier
