violet;blue;green;yellow;orange;red;label;;;;;;;;;;;;;
2151.25;1305.89;2846.58;5194.58;5764.22;2899.8;treppe;;;;;;;;;;;;;
2154.32;1358.1;2904.12;5313.63;5782.6;2911.02;treppe;;;;;;;;;;;;;
2159.59;1394.99;2960.01;5407.46;5839.64;2921.42;treppe;;;;;;;;;;;;;
2164.33;1422.19;2982.31;5467.92;5872.88;2931.78;treppe;;;;;;;;;;;;;
2167.6;1446.67;2991.58;5515.93;5891.19;2941.2;treppe;;;;;;;;;;;;;
2170.34;1469.71;3017.52;5569.73;5926.67;2948.78;treppe;;;;;;;;;;;;;
2174.1;1488.54;3107.57;5657.26;6036.5;2953.4;treppe;;;;;;;;;;;;;
2177.19;1503.48;3176.21;5719.73;6142.45;2958.36;treppe;;;;;;;;;;;;;
2216.16;967.42;3633.38;4838.78;8445.15;2740.88;treppe;;;;;;;;;;;;;
2220.64;947.21;3554.69;4829.39;8566.43;2753.49;treppe;;;;;;;;;;;;;
2223.58;955.19;3440.35;4847.25;8596.29;2775.24;treppe;;;;;;;;;;;;;
2225.32;978.37;3344.17;4892.42;8292.14;2801.62;treppe;;;;;;;;;;;;;
2225.79;1005.23;3002.09;4894.48;7771.57;2829.46;treppe;;;;;;;;;;;;;
488.52;223.51;1207.35;698.16;1196.02;295.8;gang;;;;;;;;;;;;;
509.87;240.85;1293.71;764.15;1259.21;322.12;gang;;;;;;;;2180.07;1506.13;3217.39;5736.26;6278.91;2964.53
531.48;259.17;1340.84;837.03;1332.29;337.71;gang;;;;;;;;2184.07;1440.57;3298.25;5750.83;6529.42;2965.57
554.14;279.45;1378.06;900.33;1398.26;351.53;gang;;;;;;;;2188.36;1351.78;3383.93;5758.35;6806.97;2950.29
574.62;299.01;1414.25;957.8;1454.14;363.88;gang;;;;;;;;2192.82;1289.39;3473.73;5763.92;7094.88;2923.14
591.06;312.11;1462.03;1005.52;1492.52;375.59;gang;;;;;;;;2197.04;1216.7;3580.06;5749.46;7436.19;2854.07
605.05;321.9;1522.62;1036.37;1517.97;390.03;gang;;;;;;;;2202.04;1143.35;3648.15;5605.23;7731.47;2823.04
616.75;329.61;1581.46;1055.63;1538.87;408.63;gang;;;;;;;;2207.03;1077.67;3680.74;5383.11;7985.12;2808.52
627.27;336.05;1631.91;1072.37;1557.99;426.37;gang;;;;;;;;2211.73;1013.84;3696.76;5158.56;8222.61;2780.76
636.85;343.14;1679.72;1094.33;1575.59;437.93;gang;;;;;;;;;;;;;
647.96;354.63;1711.65;1124;1594.83;444.34;gang;;;;;;;;;;;;;
659.57;368.16;1735.29;1155.1;1614.75;449.6;gang;;;;;;;;;;;;;
670.21;380.95;1765.06;1178.89;1630.97;456.04;gang;;;;;;;;;;;;;
678.49;392.25;1804.45;1191;1642.77;468.94;gang;;;;;;;;;;;;;
685.24;401.13;1827.51;1199.5;1652.7;482.15;gang;;;;;;;;;;;;;
696.12;413.61;1830.06;1201.25;1658.43;487.43;gang;;;;;;;;;;;;;
712.3;424.45;1793.53;1183.12;1658.88;487.59;gang;;;;;;;;;;;;;
